Date,Govornorate,Community,Month,Year,Sex,Child,Type of Incident,Weapon,Fatal
30/03/18,Gaza North,Beit Hanoun,March,2018,Male,No,Other,Shrapnel,No
30/03/18,Khan Yunis,Al Qarara,March,2018,Male,No,Other,Shrapnel,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Female,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Female,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Female,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Others,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Female,No,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,Yes,Demonstration (GMR),Tear gas canister (inhalation),No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
30/03/18,Khan Yunis,Khuza'a,March,2018,Male,No,Demonstration (GMR),Live ammunition,No
