Indicator,Value,date
Hours per day (electricity),7,01/01/17
# of days of fuel availability - WASH,90,01/01/17
# of days of fuel availability - HEALTH,90,01/01/17
# of days of fuel availability - SOLID WASTE,90,01/01/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.2,01/01/17
# of shooting  incidents in ARA Sea/Land,49,01/01/17
# of fatalities,0,01/01/17
# of injuries,11,01/01/17
Rafah Crossing Opening days,4,01/01/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,5,01/01/17
% of denied and delayed permits to cross EREZ,0.53,01/01/17
Total number of medical applications submitted to EREZ Crossings,2792,01/01/17
Percentage of drugs at Zero Stock,0.34,01/01/17
Quantity of wastewater flows into the sea (Cubic Meter),3025610,01/01/17
Access to piped water (Litre/capita/day),86,01/01/17
Desalination plants production (m3\month,101587,01/01/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,199,01/01/17
Unemployment Rate /Youth,0.41,01/01/17
GDP per capita,466.7,01/01/17
% of PA teachers attending,0.274,01/01/17
% of dropout,0.0013,01/01/17
Hours per day (electricity),7,01/02/17
# of days of fuel availability - WASH,90,01/02/17
# of days of fuel availability - HEALTH,90,01/02/17
# of days of fuel availability - SOLID WASTE,90,01/02/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.2,01/02/17
# of shooting  incidents in ARA Sea/Land,43,01/02/17
# of fatalities,0,01/02/17
# of injuries,7,01/02/17
Rafah Crossing Opening days,4,01/02/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,6,01/02/17
% of denied and delayed permits to cross EREZ,0.4,01/02/17
Total number of medical applications submitted to EREZ Crossings,2391,01/02/17
Percentage of drugs at Zero Stock,0.34,01/02/17
Quantity of wastewater flows into the sea (Cubic Meter),2856398,01/02/17
Access to piped water (Litre/capita/day),86,01/02/17
Desalination plants production (m3\month,100932,01/02/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,211,01/02/17
Unemployment Rate /Youth,0.41,01/02/17
GDP per capita,466.7,01/02/17
% of PA teachers attending,0.675,01/02/17
% of dropout,0.0013,01/02/17
Hours per day (electricity),8,01/03/17
# of days of fuel availability - WASH,90,01/03/17
# of days of fuel availability - HEALTH,90,01/03/17
# of days of fuel availability - SOLID WASTE,90,01/03/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.2,01/03/17
# of shooting  incidents in ARA Sea/Land,40,01/03/17
# of fatalities,1,01/03/17
# of injuries,5,01/03/17
Rafah Crossing Opening days,4,01/03/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,8,01/03/17
% of denied and delayed permits to cross EREZ,0.45,01/03/17
Total number of medical applications submitted to EREZ Crossings,2626,01/03/17
Percentage of drugs at Zero Stock,0.28,01/03/17
Quantity of wastewater flows into the sea (Cubic Meter),3010533,01/03/17
Access to piped water (Litre/capita/day),80,01/03/17
Desalination plants production (m3\month,121904,01/03/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,223,01/03/17
Unemployment Rate /Youth,0.41,01/03/17
GDP per capita,466.7,01/03/17
% of PA teachers attending,0.674,01/03/17
% of dropout,0.0013,01/03/17
Hours per day (electricity),7,01/04/17
# of days of fuel availability - WASH,90,01/04/17
# of days of fuel availability - HEALTH,90,01/04/17
# of days of fuel availability - SOLID WASTE,90,01/04/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.2,01/04/17
# of shooting  incidents in ARA Sea/Land,30,01/04/17
# of fatalities,0,01/04/17
# of injuries,0,01/04/17
Rafah Crossing Opening days,0,01/04/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,10,01/04/17
% of denied and delayed permits to cross EREZ,0.42,01/04/17
Total number of medical applications submitted to EREZ Crossings,1980,01/04/17
Percentage of drugs at Zero Stock,0.33,01/04/17
Quantity of wastewater flows into the sea (Cubic Meter),3012620,01/04/17
Access to piped water (Litre/capita/day),51,01/04/17
Desalination plants production (m3\month,49151,01/04/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,299,01/04/17
Unemployment Rate /Youth,0.44,01/04/17
GDP per capita,450.4,01/04/17
% of PA teachers attending,0.636,01/04/17
% of dropout,0.0013,01/04/17
Hours per day (electricity),5,01/05/17
# of days of fuel availability - WASH,90,01/05/17
# of days of fuel availability - HEALTH,90,01/05/17
# of days of fuel availability - SOLID WASTE,90,01/05/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/05/17
# of shooting  incidents in ARA Sea/Land,20,01/05/17
# of fatalities,1,01/05/17
# of injuries,17,01/05/17
Rafah Crossing Opening days,4,01/05/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,11,01/05/17
% of denied and delayed permits to cross EREZ,0.53,01/05/17
Total number of medical applications submitted to EREZ Crossings,2282,01/05/17
Percentage of drugs at Zero Stock,0.34,01/05/17
Quantity of wastewater flows into the sea (Cubic Meter),3075156,01/05/17
Access to piped water (Litre/capita/day),53,01/05/17
Desalination plants production (m3\month,51963,01/05/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,286,01/05/17
Unemployment Rate /Youth,0.44,01/05/17
GDP per capita,450.4,01/05/17
% of PA teachers attending,0.679,01/05/17
% of dropout,0.0013,01/05/17
Hours per day (electricity),6,01/06/17
# of days of fuel availability - WASH,60,01/06/17
# of days of fuel availability - HEALTH,90,01/06/17
# of days of fuel availability - SOLID WASTE,60,01/06/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/06/17
# of shooting  incidents in ARA Sea/Land,27,01/06/17
# of fatalities,2,01/06/17
# of injuries,62,01/06/17
Rafah Crossing Opening days,0,01/06/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,12,01/06/17
% of denied and delayed permits to cross EREZ,0.5,01/06/17
Total number of medical applications submitted to EREZ Crossings,1920,01/06/17
Percentage of drugs at Zero Stock,0.36,01/06/17
Quantity of wastewater flows into the sea (Cubic Meter),3038191,01/06/17
Access to piped water (Litre/capita/day),53,01/06/17
Desalination plants production (m3\month,52807,01/06/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,300,01/06/17
Unemployment Rate /Youth,0.44,01/06/17
GDP per capita,450.4,01/06/17
Hours per day (electricity),5,01/07/17
# of days of fuel availability - WASH,30,01/07/17
# of days of fuel availability - HEALTH,60,01/07/17
# of days of fuel availability - SOLID WASTE,30,01/07/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/07/17
# of shooting  incidents in ARA Sea/Land,17,01/07/17
# of fatalities,1,01/07/17
# of injuries,43,01/07/17
Rafah Crossing Opening days,0,01/07/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14,01/07/17
% of denied and delayed permits to cross EREZ,0.43,01/07/17
Total number of medical applications submitted to EREZ Crossings,1847,01/07/17
Percentage of drugs at Zero Stock,0.4,01/07/17
Quantity of wastewater flows into the sea (Cubic Meter),3056674,01/07/17
Access to piped water (Litre/capita/day),53,01/07/17
Desalination plants production (m3\month,40935,01/07/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,293,01/07/17
Unemployment Rate /Youth,0.47,01/07/17
GDP per capita,447.7,01/07/17
Reduced food quality,0.41,01/07/17
Borrowed food/money from relatives or friends,0.29,01/07/17
Hours per day (electricity),4,01/08/17
# of days of fuel availability - WASH,90,01/08/17
# of days of fuel availability - HEALTH,90,01/08/17
# of days of fuel availability - SOLID WASTE,90,01/08/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/08/17
# of shooting  incidents in ARA Sea/Land,9,01/08/17
# of fatalities,0,01/08/17
# of injuries,23,01/08/17
Rafah Crossing Opening days,7,01/08/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14,01/08/17
% of denied and delayed permits to cross EREZ,0.45,01/08/17
Total number of medical applications submitted to EREZ Crossings,1883,01/08/17
Percentage of drugs at Zero Stock,0.4,01/08/17
Quantity of wastewater flows into the sea (Cubic Meter),3080574,01/08/17
Access to piped water (Litre/capita/day),54,01/08/17
Desalination plants production (m3\month,43487,01/08/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,296,01/08/17
Unemployment Rate /Youth,0.47,01/08/17
GDP per capita,447.7,01/08/17
Reduced food quality,0.38,01/08/17
Borrowed food/money from relatives or friends,0.29,01/08/17
% of PA teachers attending,0.291,01/08/17
Hours per day (electricity),5,01/09/17
# of days of fuel availability - WASH,90,01/09/17
# of days of fuel availability - HEALTH,90,01/09/17
# of days of fuel availability - SOLID WASTE,90,01/09/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/09/17
# of shooting  incidents in ARA Sea/Land,6,01/09/17
# of fatalities,0,01/09/17
# of injuries,9,01/09/17
Rafah Crossing Opening days,5,01/09/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,12,01/09/17
% of denied and delayed permits to cross EREZ,0.45,01/09/17
Total number of medical applications submitted to EREZ Crossings,1858,01/09/17
Percentage of drugs at Zero Stock,0.41,01/09/17
Quantity of wastewater flows into the sea (Cubic Meter),3268144,01/09/17
Access to piped water (Litre/capita/day),71,01/09/17
Desalination plants production (m3\month,65266,01/09/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,265,01/09/17
Unemployment Rate /Youth,0.47,01/09/17
GDP per capita,447.7,01/09/17
Reduced food quality,0.37,01/09/17
Borrowed food/money from relatives or friends,0.34,01/09/17
% of PA teachers attending,0.613,01/09/17
% of dropout,0.0019,01/09/17
Hours per day (electricity),4,01/10/17
# of days of fuel availability - WASH,90,01/10/17
# of days of fuel availability - HEALTH,90,01/10/17
# of days of fuel availability - SOLID WASTE,90,01/10/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/10/17
# of shooting  incidents in ARA Sea/Land,17,01/10/17
# of fatalities,12,01/10/17
# of injuries,34,01/10/17
Rafah Crossing Opening days,0,01/10/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,10,01/10/17
% of denied and delayed permits to cross EREZ,0.45,01/10/17
Total number of medical applications submitted to EREZ Crossings,2017,01/10/17
Percentage of drugs at Zero Stock,0.45,01/10/17
Quantity of wastewater flows into the sea (Cubic Meter),3279178,01/10/17
Access to piped water (Litre/capita/day),73,01/10/17
Desalination plants production (m3\month,66878,01/10/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,281,01/10/17
Unemployment Rate /Youth,0.43,01/10/17
GDP per capita,438.5,01/10/17
Reduced food quality,0.35,01/10/17
Borrowed food/money from relatives or friends,0.39,01/10/17
% of PA teachers attending,0.739,01/10/17
% of dropout,0.0153,01/10/17
Hours per day (electricity),5,01/11/17
# of days of fuel availability - WASH,90,01/11/17
# of days of fuel availability - HEALTH,90,01/11/17
# of days of fuel availability - SOLID WASTE,90,01/11/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/11/17
# of shooting  incidents in ARA Sea/Land,32,01/11/17
# of fatalities,0,01/11/17
# of injuries,10,01/11/17
Rafah Crossing Opening days,4,01/11/17
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,10.5,01/11/17
% of denied and delayed permits to cross EREZ,0.46,01/11/17
Total number of medical applications submitted to EREZ Crossings,2047,01/11/17
Percentage of drugs at Zero Stock,0.43,01/11/17
Quantity of wastewater flows into the sea (Cubic Meter),3070856,01/11/17
Access to piped water (Litre/capita/day),68,01/11/17
Desalination plants production (m3\month,63056,01/11/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,268,01/11/17
Unemployment Rate /Youth,0.43,01/11/17
GDP per capita,438.5,01/11/17
Reduced food quality,0.36,01/11/17
Borrowed food/money from relatives or friends,0.43,01/11/17
% of PA teachers attending,0.721,01/11/17
% of dropout,0.0042,01/11/17
Hours per day (electricity),5,01/12/17
# of days of fuel availability - WASH,60,01/12/17
# of days of fuel availability - HEALTH,60,01/12/17
# of days of fuel availability - SOLID WASTE,60,01/12/17
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/12/17
# of shooting  incidents in ARA Sea/Land,87,01/12/17
# of fatalities,11,01/12/17
# of injuries,960,01/12/17
Rafah Crossing Opening days,4,01/12/17
